Data Source,,,,,,,,,,,,,,,,,
Last Updated Date,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country Name,Indicator Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
IDA & IBRD total,GDP (current US$),6.40216E+12,7.23172E+12,8.59568E+12,1.02526E+13,1.21713E+13,1.50858E+13,1.81195E+13,1.76075E+13,2.14255E+13,2.52679E+13,2.68315E+13,2.84407E+13,2.94825E+13,2.78767E+13,2.79728E+13,
IDA total,GDP (current US$),4.44398E+11,5.03275E+11,5.85636E+11,6.76966E+11,8.17667E+11,9.55193E+11,1.1485E+12,1.12876E+12,1.4551E+12,1.64971E+12,1.77931E+12,1.93538E+12,2.09467E+12,2.03203E+12,1.99981E+12,
IDA blend,GDP (current US$),1.84391E+11,2.10309E+11,2.54107E+11,2.98966E+11,3.77892E+11,4.32494E+11,5.15331E+11,4.79917E+11,7.07234E+11,8.10783E+11,8.91826E+11,9.69504E+11,1.05262E+12,9.84508E+11,9.23606E+11,
Indonesia,GDP (current US$),2.08325E+11,2.49968E+11,2.73461E+11,3.04372E+11,3.88168E+11,4.60193E+11,5.43254E+11,5.74505E+11,7.55094E+11,8.92969E+11,9.1787E+11,9.12524E+11,8.90815E+11,8.61256E+11,9.32259E+11,
IDA only,GDP (current US$),2.60506E+11,2.93491E+11,3.31891E+11,3.7828E+11,4.39667E+11,5.2281E+11,6.33846E+11,6.52749E+11,7.42077E+11,8.31577E+11,8.77953E+11,9.55564E+11,1.0306E+12,1.03955E+12,1.07279E+12,
India,GDP (current US$),5.08069E+11,5.99593E+11,6.99689E+11,8.08901E+11,9.20317E+11,1.20111E+12,1.18695E+12,1.32394E+12,1.65662E+12,1.82305E+12,1.82764E+12,1.85672E+12,2.03539E+12,2.08987E+12,2.26379E+12,
Ireland,GDP (current US$),1.27945E+11,1.64285E+11,1.9387E+11,2.11651E+11,2.32086E+11,2.69918E+11,2.7502E+11,2.36311E+11,2.21951E+11,2.39019E+11,2.25572E+11,2.39389E+11,2.58099E+11,2.90617E+11,3.04819E+11,
"Iran, Islamic Rep.",GDP (current US$),1.28627E+11,1.53545E+11,1.90043E+11,2.26452E+11,2.66299E+11,3.49882E+11,4.06071E+11,4.14059E+11,4.8707E+11,5.835E+11,5.98853E+11,4.67415E+11,4.34475E+11,3.85874E+11,4.18977E+11,
Iceland,GDP (current US$),9199643908,11304084267,13703315349,16691213479,17043245939,21295012099,17640375722,12887072301,13254818331,14674650435,14218575093,15479256845,17178962757,16783714958,20047413006,
Israel,GDP (current US$),1.21069E+11,1.26865E+11,1.35445E+11,1.42463E+11,1.53967E+11,1.78707E+11,2.1584E+11,2.07419E+11,2.3361E+11,2.61629E+11,2.57297E+11,2.92489E+11,3.08417E+11,2.99096E+11,3.17745E+11,
Italy,GDP (current US$),1.26651E+12,1.56965E+12,1.79831E+12,1.85266E+12,1.94263E+12,2.20305E+12,2.39073E+12,2.18516E+12,2.12506E+12,2.27629E+12,2.07282E+12,2.13049E+12,2.15173E+12,1.83235E+12,1.85891E+12,
Jamaica,GDP (current US$),9694161516,9399452788,10150978155,11204416000,11905525197,12824094990,13678606692,12038829246,13191645686,14439910353,14800165407,14274983016,13897723431,14186886643,14056908749,
Jordan,GDP (current US$),9582453032,10195660790,11411390409,12588665303,15056929760,17110587447,21972004086,23820230000,26425379437,28840263380,30937277606,33593843662,35826925775,37517410282,38654727746,
Japan,GDP (current US$),4.11512E+12,4.44566E+12,4.81515E+12,4.75541E+12,4.53038E+12,4.51526E+12,5.03791E+12,5.23138E+12,5.7001E+12,6.15746E+12,6.20321E+12,5.15572E+12,4.84873E+12,4.38308E+12,4.94016E+12,
Kazakhstan,GDP (current US$),24636593223,30833699703,43151647003,57123671734,81003884545,1.0485E+11,1.33442E+11,1.15309E+11,1.48047E+11,1.92627E+11,2.07999E+11,2.36635E+11,2.21416E+11,1.84388E+11,1.37278E+11,
Kenya,GDP (current US$),13147743911,14904517650,16095337094,18737897745,25825524821,31958195182,35895153328,37021512049,39999659234,41953433591,50412754822,55097343448,61445345999,63767539357,70529014778,
Kyrgyz Republic,GDP (current US$),1605640633,1919012781,2211535312,2460248026,2834168889,3802566171,5139957785,4690062255,4794357795,6197766119,6605139933,7335027592,7468096567,6678178340,6551287938,
Cambodia,GDP (current US$),4284028483,4658246918,5337833248,6293046162,7274595707,8639235842,10351914093,10401851851,11242275199,12829541141,14038383450,15449630419,16777820333,18049954289,20016747754,
Kiribati,GDP (current US$),72196457.68,90231856.8,102367039.3,112133944.3,108545632.5,130754915.9,139125482.3,130465372,153275912.7,177142135.1,188045661.6,187153601.1,178869341.2,169140538.7,181551484.9,
St. Kitts and Nevis,GDP (current US$),483120194.3,465850739.6,502561629.6,543167666.7,636218037,674008481.5,738942555.6,723209111.1,705015370.4,753225963,734462666.7,788163888.9,847778185.2,878281507.8,909854619.5,
"Korea, Rep.",GDP (current US$),6.0902E+11,6.80521E+11,7.64881E+11,8.98137E+11,1.0118E+12,1.12268E+12,1.00222E+12,9.01935E+11,1.0945E+12,1.20246E+12,1.22281E+12,1.3056E+12,1.41133E+12,1.38276E+12,1.41125E+12,
Kuwait,GDP (current US$),38137545245,47875838926,59440108585,80797945205,1.01551E+11,1.14641E+11,1.47396E+11,1.059E+11,1.15419E+11,1.54028E+11,1.7407E+11,1.74161E+11,1.62632E+11,1.14567E+11,1.10876E+11,
Latin America & Caribbean (excluding high income),GDP (current US$),1.79136E+12,1.83944E+12,2.12146E+12,2.57973E+12,3.02971E+12,3.59814E+12,4.21348E+12,3.95316E+12,4.92361E+12,5.60504E+12,5.63993E+12,5.77141E+12,5.90552E+12,5.01259E+12,4.85304E+12,
Lao PDR,GDP (current US$),1758176653,2023324407,2366398120,2735558726,3452882514,4222962988,5443915121,5832915387,7127792630,8261299200,10191350120,11942230508,13268458232,14390395150,15903329473,
Lebanon,GDP (current US$),19152238806,20082918740,20955223881,21287562189,21796351575,24577114428,29227350570,35477118070,38419626628,40075674163,43868565282,46014226808,47833413749,49459296463,49598825982,
Liberia,GDP (current US$),543000000,416000000,474700000,550000000,604028900,739027200,850040500,1155147400,1292697100,1545400000,1735500000,1946500000,2013000000,2034000000,2101000000,
St. Lucia,GDP (current US$),748346592.6,823837148.1,893107222.2,951207370.4,1134193630,1277494148,1282215407,1262973407,1381968259,1437684815,1436803333,1489928889,1551921037,1649142630,1667078704,
Latin America & Caribbean,GDP (current US$),1.9768E+12,2.0353E+12,2.35066E+12,2.84551E+12,3.33724E+12,3.93635E+12,4.57603E+12,4.30216E+12,5.33453E+12,6.06428E+12,6.12121E+12,6.27299E+12,6.39155E+12,5.45921E+12,5.29987E+12,
Least developed countries: UN classification,GDP (current US$),2.1114E+11,2.39016E+11,2.74531E+11,3.21336E+11,3.77285E+11,4.59888E+11,5.71649E+11,5.82743E+11,6.61934E+11,7.51567E+11,7.98197E+11,8.66105E+11,9.38326E+11,9.26977E+11,9.40734E+11,
